model,source_lib,target_lib,train_samples,val_samples,test_samples,train_pos_count,train_neg_count,pos_weight,best_epoch,best_val_bal_acc,precision,recall,tnr,f1,bal_acc,fp,fn,tp,tn
gnn4gate_like,ASAP7,NANGATE15,2814,2186,5000,110,2704,24.581818181818182,1,0.5,0.18457300275482094,0.47183098591549294,0.939069575957184,0.2653465346534653,0.7054502809363384,296,75,67,4562
trojansaint_like,ASAP7,NANGATE15,2814,2186,5000,110,2704,24.581818181818182,1,0.5,0.21161825726141079,0.3591549295774648,0.9608892548373816,0.26631853785900783,0.6600220922074232,190,91,51,4668
fpgnn_like,ASAP7,NANGATE15,2814,2186,5000,110,2704,24.581818181818182,1,0.4524245196706313,0.0709549071618037,0.7535211267605634,0.7116097159324825,0.1296969696969697,0.7325654213465229,1401,35,107,3457
raw_sage,ASAP7,NANGATE15,2814,2186,5000,110,2704,24.581818181818182,1,0.5,1.0,0.4225352112676056,1.0,0.5940594059405941,0.7112676056338028,0,82,60,4858
