model,precision,recall,tnr,f1,bal_acc,fp,fn
raw_sage,1.0,0.4225352112676056,1.0,0.5940594059405941,0.7112676056338028,0.0,82.0
trojansaint_like,0.21161825726141079,0.3591549295774648,0.9608892548373816,0.26631853785900783,0.6600220922074232,190.0,91.0
gnn4gate_like,0.18457300275482094,0.47183098591549294,0.939069575957184,0.2653465346534653,0.7054502809363384,296.0,75.0
fpgnn_like,0.0709549071618037,0.7535211267605634,0.7116097159324825,0.1296969696969697,0.7325654213465229,1401.0,35.0
