model,precision,recall,tnr,f1,bal_acc,fp,fn
raw_sage,0.4675360278164941,0.9130593027877406,0.7337401926166743,0.5814804392394198,0.8233997477022075,19528.5,814.0
trojansaint_like,0.39544682759405037,0.9723066449110079,0.5399385108753235,0.5053026840190314,0.7561225778931657,33583.166666666664,265.1666666666667
fpgnn_like,0.36664369675076597,0.9623886477241932,0.4794821988194032,0.45776785174587437,0.7209354232717983,38178.166666666664,351.0
gnn4gate_like,0.34249616687259504,0.9388984781050592,0.46151896692186983,0.41934651741814405,0.7002087225134646,39373.333333333336,578.1666666666666
