model,precision,recall,tnr,f1,bal_acc,auroc,auprc,fp,fn
raw_sage,0.49100306349376294,0.9256382489518516,0.7334705767909094,0.5884395477527854,0.8295544128713805,0.8681924770506232,0.6663789129037079,19547.833333333332,698.3333333333334
fpgnn_like,0.4313861254101001,0.9733558783587665,0.635938428805679,0.5374064397354362,0.8046471535822227,0.8954920009539099,0.735217483675747,26679.833333333332,247.33333333333334
gnn4gate_like,0.4953108509935797,0.6875545140465187,0.681670128363518,0.36409103080669863,0.6846123212050185,0.8222663726739877,0.5792649514024591,23305.833333333332,2845.8333333333335
trojansaint_like,0.21872445041347852,0.9361155937741964,0.5063021898369057,0.3449018750406443,0.721208891805551,0.9115486139744814,0.7247291900441182,36123.333333333336,608.8333333333334
